region,lat,lon
Amazonas,-6.23,-77.87
Ancash,-9.53,-77.53
Apurimac,-13.64,-72.88
Arequipa,-16.4,-71.54
Ayacucho,-13.16,-74.22
Cajamarca,-7.16,-78.51
Callao,-12.06,-77.15
Cusco,-13.53,-71.97
Huancavelica,-12.79,-74.97
Huanuco,-9.93,-76.24
Ica,-14.07,-75.73
Junin,-12.07,-75.21
La Libertad,-8.11,-79.03
Lambayeque,-6.77,-79.84
Lima,-12.05,-77.05
Loreto,-3.75,-73.25
Madre de Dios,-12.59,-69.19
Moquegua,-17.19,-70.94
Pasco,-10.68,-76.26
Piura,-5.19,-80.63
Puno,-15.84,-70.02
San Martin,-6.49,-76.36
Tacna,-18.01,-70.25
Tumbes,-3.57,-80.45
Ucayali,-8.38,-74.53
