region,week_start,sales
Amazonas,2023-02-06,2147.59
Amazonas,2023-02-13,2242.73
Amazonas,2023-02-20,2067.35
Amazonas,2023-02-27,1977.93
Amazonas,2023-03-06,2117.34
Amazonas,2023-03-13,2044.96
Amazonas,2023-03-20,2004.31
Amazonas,2023-03-27,1924.16
Amazonas,2023-04-03,1868.15
Amazonas,2023-04-10,1863.58
Amazonas,2023-04-17,1886.60
Amazonas,2023-04-24,1946.44
Amazonas,2023-05-01,1814.50
Amazonas,2023-05-08,1841.84
Amazonas,2023-05-15,1739.72
Amazonas,2023-05-22,1748.78
Amazonas,2023-05-29,1888.14
Amazonas,2023-06-05,1725.03
Amazonas,2023-06-12,1648.07
Amazonas,2023-06-19,1562.28
Amazonas,2023-06-26,1672.65
Amazonas,2023-07-03,1695.86
Amazonas,2023-07-10,1543.22
Amazonas,2023-07-17,1596.57
Amazonas,2023-07-24,1701.28
Amazonas,2023-07-31,1700.69
Amazonas,2023-08-07,1564.00
Amazonas,2023-08-14,1607.54
Amazonas,2023-08-21,1679.13
Amazonas,2023-08-28,1608.70
Amazonas,2023-09-04,1742.59
Amazonas,2023-09-11,1658.79
Amazonas,2023-09-18,1547.75
Amazonas,2023-09-25,1629.31
Amazonas,2023-10-02,1593.84
Amazonas,2023-10-09,1638.07
Amazonas,2023-10-16,1686.97
Amazonas,2023-10-23,1789.30
Amazonas,2023-10-30,1943.37
Amazonas,2023-11-06,1967.98
Amazonas,2023-11-13,1992.48
Amazonas,2023-11-20,2053.43
Amazonas,2023-11-27,2043.90
Amazonas,2023-12-04,2070.65
Amazonas,2023-12-11,2017.64
Amazonas,2023-12-18,2117.25
Amazonas,2023-12-25,1983.39
Amazonas,2024-01-01,2080.21
Amazonas,2024-01-08,2066.39
Amazonas,2024-01-15,2132.89
Amazonas,2024-01-22,2204.38
Amazonas,2024-01-29,2113.75
Amazonas,2024-02-05,2142.53
Amazonas,2024-02-12,2156.41
Amazonas,2024-02-19,2166.80
Amazonas,2024-02-26,2105.88
Amazonas,2024-03-04,1960.13
Amazonas,2024-03-11,2188.00
Amazonas,2024-03-18,1950.13
Amazonas,2024-03-25,1895.30
Amazonas,2024-04-01,1876.82
Amazonas,2024-04-08,1792.99
Amazonas,2024-04-15,1908.02
Amazonas,2024-04-22,1854.38
Amazonas,2024-04-29,1957.55
Amazonas,2024-05-06,1909.51
Amazonas,2024-05-13,1878.51
Amazonas,2024-05-20,1899.76
Amazonas,2024-05-27,1938.55
Amazonas,2024-06-03,1717.11
Amazonas,2024-06-10,1673.09
